ID;FECHA;TORNEO;MODALIDAD
1705096264;2024-01-13;CIRCUITO DE VERANO 2° FECHA - 13/01/24;MEDAL
1704500217;2024-01-06;CIRCUITO DE VERANO;MEDAL
1703885186;2023-12-30;FIN DE AÑO;MEDAL
-236500004;2023-12-23;MANGLAR BRAVA;MEDAL
636092335;2023-12-16;ROENTGEN - 16/12/23;MEDAL
1702086224;2023-12-09;SCAUSO;MEDAL
1701972006;2023-12-08;CAMPEONATO DEL CLUB INDIVIDUAL SCAUSO;MEDAL
1701815390;2023-12-07;SCRATCH DEL CLUB;MEDAL
-812461568;2023-11-25;VENERANDA - 25/11/23;MEDAL
279303263;2023-11-22;MIERCOLES - 22/11/23;MEDAL
1618167653;2023-11-18;CAPITAN / PRESIDENTE - 18/11/23;MEDAL
224552317;2023-11-17;VIERNES - 17/11/23;MEDAL
1699634152;2023-11-11;BANCO GALICIA - 11/11/23;MEDAL
1699481066;2023-11-08;MIERCOLES - 08/11/23;MEDAL
1699038627;2023-11-04;VALFRE;MEDAL
1698859581;2023-10-31;MARTES - 31/10/23;MEDAL
1137974771;2023-10-28;2° CAMPEONATO PROVINCIAL INTERCLUBES SENIOR;MEDAL
1698947762;2023-10-27;VIERNES - 27/10/23;MEDAL
361216578;2023-10-26;JUEVES - 26/10/23;MEDAL
1698252165;2023-10-25;MIERCOLES - 25/10/23;MEDAL
-1711584110;2023-10-21;LEGACY - 21/10/23;MEDAL
1697654895;2023-10-18;MIERCOLES - 18/10/23;MEDAL
1696607042;2023-10-07;OKTOBERFEST;MEDAL
-827016059;2023-09-30;DE LAS BOLSAS;MEDAL
-1523090442;2023-09-28;JUEVES - 28/09/23;MEDAL
1695772753;2023-09-27;CIUDAD DE VILLA MARIA;MEDAL
1584547473;2023-09-24;CLASIFICACION INTERCLUBES SENIOR - 24/09/23;MEDAL
1695396924;2023-09-23;TIENDA DE VINOS GARDU;MEDAL
1695327217;2023-09-21;JUEVES - 21/09/23;MEDAL
1694796711;2023-09-16;LORES DEL GOLF - 16/09/23;MEDAL
1694293469;2023-09-10;CLASIFICACION INTERCLUBES SENIOR - 10/09/23;MEDAL
1694190411;2023-09-09;RESTO DEL GOLF / MALDONADO JULIO;MEDAL
966734235;2023-09-06;MIERCOLES - 06/09/23;MEDAL
1693584327;2023-09-02;IMPACTO SPORT;MEDAL
1031837954;2023-08-26;DEL CHOCOLATE;MEDAL
817523123;2023-08-20;CLASIFICACION INTERCLUBES SENIOR - 20/08/23;MEDAL
-1403967114;2023-08-19;DEL LIBERTADOR - 19/08/23;MEDAL
1692305283;2023-08-17;JUEVES - 17/08/23;MEDAL
-910597177;2023-08-16;MIERCOLES - 16/08/23;MEDAL
1691773822;2023-08-12;LUCAS GOLF - 12/08/23;FOUR BALL 3/8
1691797696;2023-08-11;VIERNES - 11/08/23;MEDAL
1691697872;2023-08-10;JUEVES - 10/08/23;MEDAL
1691600659;2023-08-09;MIERCOLES - 09/08/23;MEDAL
1691277946;2023-08-06;CLASIFICACION INTERCLUBES SENIOR - 06/08/23;MEDAL
1691170653;2023-08-05;GOLF CHANEL / MANAGRO - 05/08/23;MEDAL
1690571736;2023-07-29;DE LAS BOCHAS - 29/07/23;MEDAL
-1306313230;2023-07-22;CINDY - 22/07/23;MEDAL
720754460;2023-07-16;DOMINGO - 16/07/23;MEDAL
1689356709;2023-07-15;GOLF CHANEL / MANAGRO - 15/07/23;MEDAL
1666354754;2023-07-08;MV CONSULTING;MEDAL
1688603467;2023-07-05;MIERCOLES - 05/07/23;MEDAL
391912871;2023-07-01;HOWARD JHONSON - 01/07/23;MEDAL
